timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,sys.rangingUs
29826.713,336.375,314.5625,176.4375,386.1875,51.8125,1609.125,285.1875,278.8125,1918.5,18.0625,-16.625,0.0,0.0,147.63531494140625,0,54991
29876.24,336.375,314.625,178.25,537.125,48.625,1858.3125,295.625,277.0,1917.6875,21.875,-16.0,0.0,0.0,147.6033172607422,0,55003
29925.807,336.375,314.625,178.25,537.125,48.625,1858.3125,295.625,277.0,1917.6875,21.875,-16.0,0.0,0.0,147.6189422607422,0,55003
29975.333,336.375,314.625,178.25,537.125,48.625,1858.3125,295.625,277.0,1917.6875,21.875,-16.0,0.0,0.0,147.653564453125,0,55003
30024.894,336.5625,315.25,175.875,383.375,48.9375,1916.875,285.5625,275.3125,1920.4375,21.875,-16.0,0.0,0.0,147.65330505371094,0,55003
30074.42,336.5625,315.25,175.875,383.375,48.9375,1916.875,285.5625,275.3125,1920.4375,21.875,-16.0,0.0,0.0,147.6819305419922,0,55109
30123.984,336.5625,315.25,175.875,383.375,48.9375,1916.875,285.5625,275.3125,1920.4375,21.875,-16.0,0.0,0.0,147.72889709472656,0,55109
30173.524,336.9375,315.4375,166.0,535.875,49.5625,1870.125,283.25,273.0,1916.875,21.875,-16.0,0.0,0.0,147.7483673095703,0,55109
30223.066,336.9375,315.4375,166.0,535.875,49.5625,1870.125,283.25,273.0,1916.875,18.0,-16.5,0.0,0.0,147.7425537109375,0,55010
30272.602,336.9375,315.4375,166.0,535.875,49.5625,1870.125,283.25,273.0,1916.875,18.0,-16.5,0.0,0.0,147.73670959472656,0,55010
30322.175,336.125,314.75,169.0625,384.1875,49.3125,2055.0,288.1875,277.0,1916.875,18.0,-16.5,0.0,0.0,147.69920349121094,0,55010
30371.693,336.125,314.75,169.0625,384.1875,49.3125,2055.0,288.1875,277.0,1918.4375,22.0,-16.0625,0.0,0.0,147.70709228515625,0,55077
30421.248,336.125,314.75,169.0625,384.1875,49.3125,2055.0,288.1875,277.0,1918.4375,22.0,-16.0625,0.0,0.0,147.7359619140625,0,55077
30470.788,334.75,313.625,165.125,383.0625,48.25,1914.5,287.625,277.0,1918.4375,22.0,-16.0625,0.0,0.0,147.725830078125,0,55077
30520.347,334.75,313.625,165.125,383.0625,48.25,1914.5,287.625,256.0625,1921.0625,18.125,-14.625,0.0,0.0,147.73825073242188,0,54943
30569.875,334.75,313.625,165.125,383.0625,48.25,1914.5,287.625,256.0625,1921.0625,18.125,-14.625,0.0,0.0,147.7392578125,0,54943
30619.435,336.0,314.5,179.5625,537.25,49.75,1060.9375,287.625,256.0625,1921.0625,18.125,-14.625,0.0,0.0,147.76309204101562,0,54943
30668.965,336.0,314.5,179.5625,537.25,49.75,1060.9375,294.625,263.9375,1921.4375,18.1875,-14.8125,0.0,0.0,147.76565551757812,0,55195
30718.529,336.0,314.5,179.5625,537.25,49.75,1060.9375,294.625,263.9375,1921.4375,18.1875,-14.8125,0.0,0.0,147.74273681640625,0,55195
30768.066,337.9375,313.125,166.25,385.1875,49.4375,1060.9375,294.625,263.9375,1921.4375,18.1875,-14.8125,0.0,0.0,147.70362854003906,0,55195
