timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10
33281.84,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33285.757,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33289.752,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33293.682,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33297.645,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33301.655,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33305.573,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33309.575,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33313.496,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33317.465,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33321.468,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33325.385,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33329.38,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33333.31,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33337.273,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33341.283,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33345.199,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33349.203,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33353.125,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33357.095,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33361.11,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33365.021,237.25,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33369.019,237.25,543.6875,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33372.948,237.25,543.6875,265.4375,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33376.911,237.25,543.6875,265.4375,264.5625,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33380.923,237.25,543.6875,265.4375,264.5625,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33384.835,237.25,543.6875,265.4375,264.5625,235.0625,429.0,198.75,174.6875,293.0625,118.5,117.125
33416.531,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33420.542,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33424.457,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33428.462,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33432.383,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33436.346,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33440.354,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33444.27,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33448.265,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33452.196,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33456.159,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33460.168,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33464.084,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33468.089,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33472.01,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33475.973,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33479.982,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33483.899,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33487.894,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33491.824,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33495.787,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33499.796,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33503.713,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33507.717,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33511.64,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33515.615,237.25,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33519.624,433.8125,543.6875,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33523.535,433.8125,245.375,265.4375,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33527.54,433.8125,245.375,268.625,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33531.461,433.8125,245.375,268.625,264.5625,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33535.424,433.8125,245.375,268.625,264.8125,235.0625,437.75,176.3125,152.9375,299.5,141.375,134.625
33539.439,433.8125,245.375,268.625,264.8125,246.5,437.75,176.3125,152.9375,299.5,141.375,134.625
33543.351,433.8125,245.375,268.625,264.8125,246.5,538.875,176.3125,152.9375,299.5,141.375,134.625
33571.081,433.8125,245.375,268.625,264.8125,246.5,538.875,170.25,145.0,303.4375,149.3125,143.1875
33575.044,433.8125,245.375,268.625,264.8125,246.5,538.875,170.25,145.0,303.4375,149.3125,143.1875
33579.053,433.8125,245.375,268.625,264.8125,246.5,538.875,170.25,145.0,303.4375,149.3125,143.1875
33582.97,433.8125,245.375,268.625,264.8125,246.5,538.875,170.25,145.0,303.4375,149.3125,143.1875
33586.974,433.8125,245.375,268.625,264.8125,246.5,538.875,170.25,145.0,303.4375,149.3125,143.1875
