timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std,motion.loopUs
40197.496,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.149893283843994,15.598787307739258,0.015005229972302914,11,0,0,8191,24,2.0,307
40247.031,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.210129737854004,15.700014114379883,0.013117571361362934,11,0,0,8191,20,2.0,301
40296.571,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.096927642822266,15.6096830368042,0.016940835863351822,23,0,0,8191,20,2.0,301
40346.115,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.104394435882568,15.645074844360352,0.0164254792034626,15,0,0,8191,19,2.0,311
40395.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.022416114807129,15.515503883361816,0.014158913865685463,11,0,0,8191,19,2.0,311
40445.205,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.224712371826172,15.920655250549316,0.016546420753002167,20,0,0,8191,16,2.0,437
40494.741,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.221749305725098,15.849169731140137,0.013869154267013073,12,0,0,8191,16,2.0,437
40544.284,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.172241687774658,15.993639945983887,0.016779573634266853,22,0,0,8191,20,2.0,348
40593.836,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.1832404136657715,15.995270729064941,0.015036880038678646,12,0,0,8191,20,2.0,348
40643.369,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.218397617340088,16.090980529785156,0.014403500594198704,14,0,0,8191,27,2.0,311
40692.913,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.2533650398254395,16.1793155670166,0.01937463879585266,26,0,0,8191,27,2.0,311
40742.467,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.160651206970215,15.926948547363281,0.015495352447032928,9,0,0,8191,22,2.0,312
40792.014,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.097451210021973,15.718002319335938,0.012333952821791172,9,0,0,8191,22,2.0,312
40841.541,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.24150276184082,16.152435302734375,0.012961425818502903,10,0,0,8191,25,2.0,392
40891.089,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.276914119720459,16.24150276184082,0.01219956949353218,12,0,0,8191,25,2.0,392
40940.624,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.09328031539917,16.027090072631836,0.016968905925750732,25,0,0,8191,20,2.0,330
40990.176,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.921558380126953,15.782364845275879,0.01420109998434782,9,0,0,8191,20,2.0,330
41039.709,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.759700298309326,15.565369606018066,0.012577195651829243,11,0,0,8191,21,2.0,311
41089.254,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.793034076690674,17.21834945678711,0.016877373680472374,23,0,0,8191,21,2.0,311
41138.798,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,6.141815185546875,17.6595458984375,0.014101540669798851,10,0,0,8191,22,2.0,397
41188.348,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.265352725982666,15.171483039855957,0.01766016334295273,23,0,0,8191,22,2.0,397
41237.881,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,3.7527406215667725,14.495450019836426,0.015851398929953575,12,0,0,8191,24,2.0,406
41287.427,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,3.26454496383667,13.886225700378418,0.015096875838935375,14,0,0,8191,24,2.0,406
41336.965,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,6.6911211013793945,18.448745727539062,0.01840398833155632,23,0,0,8191,24,2.0,332
41386.517,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,6.847611427307129,18.548707962036133,0.016468625515699387,13,0,0,8191,24,2.0,332
41436.052,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,7.798602104187012,19.68844985961914,0.014817323535680771,13,0,0,8191,21,2.0,312
41485.593,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,2.6030385494232178,13.605633735656738,0.019085915759205818,24,0,0,8191,21,2.0,312
41535.136,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,1.6463583707809448,12.639789581298828,0.015041534788906574,14,0,0,8191,18,2.0,371
41584.688,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,6.97133731842041,18.542232513427734,0.0178995244204998,22,0,0,8191,18,2.0,371
41634.222,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.59418249130249,16.856449127197266,0.014836806803941727,10,0,0,8191,18,2.0,301
41683.764,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.74642276763916,16.9213809967041,0.0132701825350523,12,0,0,8191,18,2.0,301
41733.306,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,3.6791799068450928,15.779607772827148,0.017702002078294754,25,0,0,8191,19,2.0,314
41782.857,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,3.5409133434295654,16.007577896118164,0.014761113561689854,10,0,0,8191,19,2.0,314
41832.393,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,2.704599380493164,16.123010635375977,0.01230261567980051,10,0,0,8191,25,2.0,311
41881.941,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,6.384191036224365,15.885880470275879,0.016642270609736443,11,0,0,8191,25,2.0,311
41931.481,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,7.141232013702393,15.458844184875488,0.014081857167184353,14,0,0,8191,21,2.0,376
41981.029,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,2.0709526538848877,17.47005271911621,0.01755833812057972,23,0,0,8191,21,2.0,376
42030.564,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,1.5158904790878296,17.964923858642578,0.016426851972937584,14,0,0,8191,20,2.0,324
