timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z
33086.924,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77980041503906
33090.845,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77980041503906
33094.808,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77980041503906
33098.818,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77691650390625
33102.734,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77691650390625
33106.73,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77432250976562
33110.665,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77432250976562
33114.623,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77432250976562
33118.633,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77198791503906
33122.549,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77198791503906
33126.554,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.76988220214844
33130.476,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.76988220214844
33134.439,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.76988220214844
33138.448,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77017211914062
33142.365,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77017211914062
33146.366,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77043914794922
33150.291,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77043914794922
33154.254,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.77043914794922
33158.264,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.76630401611328
33162.18,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.76630401611328
33166.185,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.76258087158203
33170.106,282.4375,246.125,256.875,310.375,193.0,90.25,63.5,264.0625,1969.0625,17.0625,-26.5,0.0,0.0,112.76258087158203
